"filename", "language", "HTML", "XML", "JavaScript", "CSS", "JSON", "Markdown", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\User\Desktop\django-aiogram-bot\.idea\app.iml", "XML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\User\Desktop\django-aiogram-bot\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\User\Desktop\django-aiogram-bot\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\User\Desktop\django-aiogram-bot\.idea\misc.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\User\Desktop\django-aiogram-bot\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\User\Desktop\django-aiogram-bot\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\User\Desktop\django-aiogram-bot\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\User\Desktop\django-aiogram-bot\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\app\asgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 8, 5, 17
"c:\Users\User\Desktop\django-aiogram-bot\app\custom_admin\templates\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\app\custom_admin\templates\admin\index.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Desktop\django-aiogram-bot\app\custom_admin\templates\admin\stats2.html", "HTML", 65, 0, 0, 0, 0, 0, 0, 0, 0, 34, 99
"c:\Users\User\Desktop\django-aiogram-bot\app\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 74, 27, 36, 137
"c:\Users\User\Desktop\django-aiogram-bot\app\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 103, 15, 18, 136
"c:\Users\User\Desktop\django-aiogram-bot\app\wsgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 8, 5, 17
"c:\Users\User\Desktop\django-aiogram-bot\aviato\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\aviato\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 134, 1, 43, 178
"c:\Users\User\Desktop\django-aiogram-bot\aviato\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\User\Desktop\django-aiogram-bot\aviato\forms.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\django-aiogram-bot\aviato\management\commands\bot.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
